years,zerorate
0,0%
1,-0.175%
2,0.436%
3,0.703%
4,0.829%
5,0.895%
6,0.943%
7,0.983%
8,1.025%
9,1.067%
10,1.109%
11,1.143%
12,1.170%
13,1.193%
14,1.208%
15,1.208%
16,1.193%
17,1.172%
18,1.153%
19,1.143%
20,1.144%
21,1.160%
22,1.186%
23,1.220%
24,1.259%
25,1.302%
26,1.347%
27,1.393%
28,1.440%
29,1.486%
30,1.533%
31,1.578%
32,1.623%
33,1.667%
34,1.709%
35,1.750%
36,1.790%
37,1.829%
38,1.866%
39,1.902%
40,1.937%
41,1.970%
42,2.003%
43,2.034%
44,2.064%
45,2.093%
46,2.121%
47,2.147%
48,2.173%
49,2.198%
50,2.222%
51,2.246%
52,2.268%
53,2.290%
54,2.311%
55,2.331%
56,2.350%
57,2.369%
58,2.388%
59,2.405%
60,2.422%
61,2.439%
62,2.455%
63,2.471%
64,2.486%
65,2.501%
66,2.515%
67,2.529%
68,2.542%
69,2.555%
70,2.568%