age,individuals,deaths,q1k,p1k,obsyears,survprobfit,explongevity
0,100000,233,2.32782,997.67218,99781,0.9997828,84.691
1,99767,16,0.15918,999.84082,99759,0.9998614,83.887
2,99751,12,0.118,999.882,99745,0.9998963,82.901
3,99740,9,0.08942,999.91058,99735,0.9999198,81.91
4,99731,7,0.07089,999.92911,99727,0.9999333,80.918
5,99724,6,0.06258,999.93742,99720,0.9999388,79.923
6,99717,6,0.0599,999.9401,99714,0.9999412,78.928
7,99711,6,0.0578,999.9422,99708,0.9999399,77.933
8,99706,6,0.06246,999.93754,99702,0.9999368,76.937
9,99699,6,0.06401,999.93599,99696,0.9999337,75.942
10,99693,7,0.0686,999.9314,99690,0.999931,74.947
11,99686,7,0.06931,999.93069,99683,0.9999304,73.952
12,99679,7,0.0698,999.9302,99676,0.9999279,72.957
13,99672,7,0.0745,999.9255,99669,0.9999197,71.962
14,99665,9,0.08616,999.91384,99661,0.9999087,70.968
15,99656,10,0.09652,999.90348,99651,0.9998946,69.974
16,99647,11,0.11421,999.88579,99641,0.9998801,68.98
17,99635,13,0.12559,999.87441,99629,0.9998703,67.988
18,99623,13,0.13383,999.86617,99616,0.9998626,66.997
19,99609,14,0.14096,999.85904,99602,0.9998606,66.006
20,99595,14,0.13794,999.86206,99589,0.9998664,65.015
21,99582,13,0.12921,999.87079,99575,0.9998674,64.024
22,99569,14,0.13608,999.86392,99562,0.9998637,63.032
23,99555,14,0.13653,999.86347,99548,0.9998536,62.04
24,99542,16,0.15632,999.84368,99534,0.9998397,61.049
25,99526,16,0.16433,999.83567,99518,0.9998295,60.058
26,99510,18,0.17676,999.82324,99501,0.9998197,59.068
27,99492,18,0.18387,999.81613,99483,0.9998076,58.078
28,99474,20,0.20094,999.79906,99464,0.999798,57.089
29,99454,20,0.20315,999.79685,99444,0.9997909,56.1
30,99434,21,0.21512,999.78488,99423,0.9997767,55.112
31,99412,23,0.23155,999.76845,99401,0.9997578,54.123
32,99389,25,0.25278,999.74722,99377,0.9997345,53.136
33,99364,28,0.27821,999.72179,99350,0.999708,52.149
34,99336,30,0.30571,999.69429,99321,0.9996802,51.164
35,99306,33,0.33386,999.66614,99290,0.9996482,50.179
36,99273,37,0.36982,999.63018,99255,0.9996108,49.196
37,99236,41,0.4086,999.5914,99216,0.9995666,48.214
38,99196,45,0.45821,999.54179,99173,0.9995201,47.233
39,99150,50,0.50156,999.49844,99125,0.9994677,46.255
40,99101,56,0.56311,999.43689,99073,0.9994014,45.278
41,99045,63,0.63412,999.36588,99013,0.9993312,44.303
42,98982,70,0.70347,999.29653,98947,0.9992628,43.331
43,98912,76,0.77087,999.22913,98874,0.9991825,42.361
44,98836,85,0.86424,999.13576,98793,0.9990999,41.393
45,98751,92,0.93605,999.06395,98704,0.9990136,40.428
46,98658,102,1.03686,998.96314,98607,0.9989133,39.466
47,98556,112,1.13662,998.86338,98500,0.9988209,38.506
48,98444,120,1.22153,998.77847,98384,0.9987081,37.55
49,98324,134,1.3624,998.6376,98257,0.9985602,36.595
50,98190,149,1.51732,998.48268,98115,0.998395,35.644
51,98041,166,1.69279,998.30721,97958,0.9982037,34.697
52,97875,186,1.89996,998.10004,97782,0.9980152,33.755
53,97689,202,2.06973,997.93027,97588,0.9978414,32.819
54,97487,219,2.24764,997.75236,97377,0.9976619,31.886
55,97267,236,2.4288,997.5712,97149,0.9974892,30.957
56,97031,252,2.59298,997.40702,96905,0.9972688,30.031
57,96780,278,2.86974,997.13026,96641,0.9969741,29.107
58,96502,307,3.18244,996.81756,96348,0.9966607,28.19
59,96195,336,3.49666,996.50334,96027,0.9963215,27.278
60,95858,370,3.86098,996.13902,95673,0.9959407,26.372
61,95488,407,4.25845,995.74155,95285,0.995534,25.472
62,95082,444,4.67447,995.32553,94859,0.9950972,24.579
63,94637,486,5.13229,994.86771,94394,0.9946258,23.692
64,94151,529,5.61736,994.38264,93887,0.9941127,22.812
65,93623,577,6.15876,993.84124,93334,0.993537,21.938
66,93046,630,6.76904,993.23096,92731,0.9928456,21.071
67,92416,697,7.54237,992.45763,92068,0.9920162,20.211
68,91719,773,8.42854,991.57146,91333,0.9911853,19.361
69,90946,837,9.20424,990.79576,90528,0.99025,18.521
70,90109,928,10.30073,989.69927,89645,0.9890936,17.689
71,89181,1027,11.5183,988.4817,88667,0.9877337,16.867
72,88154,1148,13.0231,986.9769,87580,0.9864641,16.058
73,87006,1223,14.05546,985.94454,86394,0.9852679,15.263
74,85783,1323,15.41842,984.58158,85121,0.983651,14.474
75,84460,1461,17.29421,982.70579,83730,0.9814164,13.693
76,82999,1651,19.89575,980.10425,82174,0.9787614,12.925
77,81348,1839,22.60869,977.39131,80428,0.9754777,12.177
78,79509,2105,26.48023,973.51977,78456,0.9719043,11.447
79,77403,2303,29.75517,970.24483,76252,0.9683626,10.745
80,75100,2522,33.57734,966.42266,73839,0.9641542,10.059
81,72579,2772,38.19302,961.80698,71193,0.9594952,9.391
82,69807,2995,42.90843,957.09157,68309,0.9538238,8.744
83,66811,3313,49.59052,950.40948,65155,0.9463348,8.114
84,63498,3680,57.95253,942.04747,61658,0.937397,7.511
85,59818,4040,67.53953,932.46047,57798,0.9272173,6.943
86,55778,4373,78.4056,921.5944,53591,0.9161465,6.409
87,51405,4614,89.76496,910.23504,49098,0.9035277,5.912
88,46790,4859,103.8412,896.1588,44361,0.8891756,5.446
89,41932,4974,118.61677,881.38323,39445,0.8746741,5.019
90,36958,4913,132.93795,867.06205,34501,0.8589696,4.627
91,32045,4818,150.36349,849.63651,29636,0.8417646,4.26
92,27226,4560,167.50046,832.49954,24946,0.8235541,3.925
93,22666,4243,187.19128,812.80872,20545,0.8032595,3.614
94,18423,3841,208.48897,791.51103,16503,0.7819689,3.331
95,14582,3355,230.08668,769.91332,12905,0.7617567,3.077
96,11227,2794,248.83742,751.16258,9830,0.7417741,2.848
97,8433,2283,270.72441,729.27559,7292,0.7191474,2.625
98,6150,1813,294.74057,705.25943,5244,0.6940316,2.414
99,4337,1396,321.88853,678.11147,3639,0.6658504,2.214
100,2941,1036,352.2307,647.7693,2423,0.6346298,2.028
101,1905,735,385.65451,614.34549,1538,0.6023386,1.858
102,1170,488,417.20553,582.79447,926,0.57092,1.711
103,682,307,449.45499,550.54501,529,0.5389389,1.578
104,376,181,482.14233,517.85767,285,0.5066499,1.459
105,194,100,514.99265,485.00735,144,0.474316,1.351
106,94,52,547.72769,452.27231,68,0.4422002,1.254
107,43,25,580.06981,419.93019,30,0.4105587,1.168
108,18,11,611.75797,388.24203,12,0.3796295,1.091
109,7,4,642.55374,357.44626,5,0.3496283,1.022
110,2,2,672.24333,327.75667,2,0.3207448,0.961
111,1,1,700.64868,299.35132,1,0.2931354,0.907
112,0,0,727.62945,272.37055,0,0.2669224,0.858
113,0,0,753.08015,246.91985,0,0.2421966,0.815
114,0,0,776.93215,223.06785,0,0.2190153,0.777
115,0,0,799.15177,200.84823,0,0.1974054,0.744
116,0,0,819.73632,180.26368,0,0.1773664,0.714
117,0,0,838.70615,161.29385,0,0.1588768,0.688
118,0,0,856.10869,143.89131,0,0.1418919,0.665
119,0,0,872.00348,127.99652,0,0.1263552,0.644